Date-time,px (m),py (m),pz (m),vx (m/s),vy (m/s),vz (m/s)
Friday January 10 2025 16:39:23,-52852263643.4915,143720702261.1315,-191110437.5291656,-32111.07045195567,1266.211198525024,-391.30432190554717
Friday January 10 2025 16:59:35,-52887973939.8789,143722107168.09708,-191545611.31870443,-32108.948770463245,1260.3195372454522,-391.295430269542
Friday January 10 2025 17:18:45,-52926890194.24775,143723630848.12033,-192019875.12253395,-32106.635426752357,1253.9001929961553,-391.2857221630934
Friday January 10 2025 17:41:17,-52963811080.13314,143725069313.22552,-192469842.52035314,-32104.439554657507,1247.811197038076,-391.27649427649845
Friday January 10 2025 18:04:19,-53007195326.96111,143726750773.45197,-192998606.86361378,-32101.85785417478,1240.6577642361813,-391.2656291323366
Friday January 10 2025 18:25:43,-53051574888.16261,143728460947.38672,-193539530.8366381,-32099.21533844521,1233.341896558084,-391.2544903310709
Friday January 10 2025 18:45:55,-53092798217.65324,143730040560.93695,-194042010.91142473,-32096.75931937443,1226.5478463760692,-391.2441216215529
Friday January 10 2025 19:04:58,-53131684609.13492,143731522740.11658,-194516028.5775836,-32094.441263728386,1220.140290434073,-391.23432121906626
Friday January 10 2025 19:24:14,-53168366098.92718,143732913860.9671,-194963189.4089884,-32092.253517011108,1214.097243628879,-391.22505917251397
Friday January 10 2025 19:44:30,-53205451647.6523,143734313380.59232,-195415296.09245825,-32090.04055932397,1207.9888084137435,-391.21567799653985
Friday January 10 2025 20:08:20,-53244497536.41343,143735779354.61856,-195891323.08547306,-32087.70941678613,1201.5587612303584,-391.20578235259546
Friday January 10 2025 20:30:27,-53290360684.533775,143737491425.91,-196450491.31470883,-32084.96968404351,1194.007728952962,-391.19413463788607
Friday January 10 2025 20:49:56,-53332958795.30174,143739072076.69287,-196969879.7255024,-32082.423465272455,1186.9958827124983,-391.1832926003463
Friday January 10 2025 21:09:52,-53370450867.86804,143740455663.4801,-197427033.64694703,-32080.18123134793,1180.8258058446786,-391.17373140237356
Friday January 10 2025 21:28:40,-53408804890.17211,143741863698.21457,-197894719.1213188,-32077.886267999635,1174.5151290614406,-391.16393223754005
Friday January 10 2025 21:46:28,-53444984808.912605,143743185095.14774,-198335913.7019696,-32075.720301544578,1168.5633337114689,-391.15467171801686
Friday January 10 2025 22:06:00,-53479259546.76924,143744430799.5919,-198753893.47455338,-32073.667412882187,1162.9259894787433,-391.14588378514077
Friday January 10 2025 22:30:36,-53516838517.52131,143745789764.0543,-199212188.25612742,-32071.415522850013,1156.7463418232078,-391.136231825224
Friday January 10 2025 22:56:58,-53564167453.3182,143747491149.44513,-199789418.54346323,-32068.577746392893,1148.965095439159,-391.1240505969154
Friday January 10 2025 23:18:22,-53614898157.667755,143749302238.36285,-200408174.02630824,-32065.533990986885,1140.6267097899865,-391.11096285710727
Saturday January 11 2025 00:05:18,-53656070115.64901,143750762508.93448,-200910370.7359946,-32063.062213120193,1133.8610796919515,-391.10031756889236
Saturday January 11 2025 00:42:44,-53746345080.332596,143753934334.33087,-202011591.11295134,-32057.63771536439,1119.0316382920175,-391.07690253039215
Saturday January 11 2025 01:16:25,-53818370122.34307,143756435385.09195,-202890275.89958173,-32053.3051073793,1107.20512648354,-391.0581483704326
Saturday January 11 2025 01:47:43,-53883144676.372826,143758662259.55164,-203680572.2578426,-32049.405069514556,1096.572949063151,-391.041227060102
Saturday January 11 2025 02:13:33,-53943310240.78439,143760711677.74734,-204414691.11965126,-32045.779503845948,1086.7005233716334,-391.02546309446257
Saturday January 11 2025 02:36:15,-53992999923.089836,143762390457.11734,-205021027.28966036,-32042.783012267977,1078.549402757217,-391.012410033855
Saturday January 11 2025 03:02:54,-54036613768.984375,143763853676.66364,-205553253.37495014,-32040.151278945104,1071.3967111451084,-391.0009278009619
Saturday January 11 2025 03:28:02,-54087841914.722374,143765560071.56775,-206178433.7319601,-32037.05812930741,1062.9973545894475,-390.9874108232335
Saturday January 11 2025 03:50:25,-54136165272.70306,143767157550.87167,-206768200.01917243,-32034.138434161043,1055.076329354275,-390.97463048356144
Saturday January 11 2025 04:08:36,-54179199683.56584,143768570252.21304,-207293445.94675595,-32031.536715366074,1048.0239386144472,-390.96322458527914
Saturday January 11 2025 04:30:59,-54214125758.55628,143769709898.78375,-207719747.66907072,-32029.424104997706,1042.301492436379,-390.95395087051287
Saturday January 11 2025 04:51:52,-54257129647.03314,143771104658.5932,-208244670.53927442,-32026.821536428095,1035.2569770282673,-390.94251155731604
Saturday January 11 2025 05:11:16,-54297270348.23027,143772398123.28293,-208734668.8154259,-32024.39090532595,1028.682913677536,-390.931813219505
Saturday January 11 2025 05:31:42,-54334554952.37248,143773592262.0371,-209189823.9638672,-32022.132059579806,1022.5778458239521,-390.92185823605826
Saturday January 11 2025 05:53:37,-54373810354.19741,143774841930.47986,-209669059.97129557,-32019.752609200772,1016.1513620172699,-390.9113584726576
Saturday January 11 2025 06:13:58,-54415900984.56931,143776173207.42307,-210182934.148351,-32017.19992879071,1009.2621906509615,-390.90007920015603
Saturday January 11 2025 06:34:20,-54454998267.911865,143777401790.54578,-210660286.70412046,-32014.82751354706,1002.8643137004905,-390.88958246127544
Saturday January 11 2025 06:53:20,-54494110616.03413,143778623120.93347,-211137845.75728232,-32012.45295787943,996.46528119958,-390.8790627861035
Saturday January 11 2025 07:12:21,-54530619125.323326,143779756170.68524,-211583632.4845713,-32010.23537795453,990.4934353330586,-390.8692263964841
Saturday January 11 2025 07:36:18,-54567142948.792984,143780882959.36426,-212029625.8807941,-32008.01579936928,984.5202261056157,-390.8593694190565
Saturday January 11 2025 08:04:26,-54613125091.28955,143782291964.31577,-212591143.04834017,-32005.219913065986,977.0018001241,-390.84693644488834
Saturday January 11 2025 08:26:14,-54667158368.59333,143783934029.81448,-213251017.5966265,-32001.932324966627,968.1692651745594,-390.83229322418526
Saturday January 11 2025 08:46:08,-54709016440.65082,143785195957.74936,-213762233.5947829,-31999.38391675116,961.3286637441468,-390.820924790012
Saturday January 11 2025 09:05:01,-54747225699.62878,143786340158.27484,-214228908.90505376,-31997.05643293766,955.0856732498942,-390.8105285060087
Saturday January 11 2025 09:23:55,-54783475608.7307,143787418870.78778,-214671673.26329556,-31994.84722258863,949.1639740260046,-390.80064871449247
Saturday January 11 2025 09:47:43,-54819741086.55672,143788491407.9856,-215114647.17129293,-31992.636012917108,943.2408558426138,-390.7907484892
Saturday January 11 2025 10:13:13,-54865415795.83709,143789832772.40054,-215672580.12436754,-31989.84960117154,935.7825594030937,-390.7782565757257
Saturday January 11 2025 10:37:02,-54914384899.49217,143791259187.90802,-216270789.45332637,-31986.860363328135,927.7882967382428,-390.7648351431723
Saturday January 11 2025 10:59:38,-54960093338.82139,143792579701.82004,-216829198.22431946,-31984.068441075487,920.3281903912309,-390.75228078215173
Saturday January 11 2025 11:23:52,-55003457508.41618,143793822742.17447,-217358996.09926566,-31981.418169415352,913.2523440335482,-390.7403465620344
Saturday January 11 2025 11:45:08,-55049949622.52801,143795144903.46332,-217927040.14867258,-31978.575063541713,905.6678870137673,-390.72752583694984
Saturday January 11 2025 12:11:56,-55090757061.5525,143796296412.54388,-218425654.67779157,-31976.078170378925,899.0123166082241,-390.71625084766737
Saturday January 11 2025 12:37:12,-55142151656.66026,143797734715.03558,-219053665.5875417,-31972.931592155033,890.6320361140124,-390.7020215667073
Saturday January 11 2025 12:59:27,-55190631938.77804,143799079243.21985,-219646101.03302,-31969.9615128717,882.729023424011,-390.6885694435648
Saturday January 11 2025 13:19:15,-55233301033.79921,143800252795.28458,-220167551.66293126,-31967.345901336717,875.7749811798373,-390.6767059338899
Saturday January 11 2025 13:37:25,-55271300370.29355,143801290179.8696,-220631956.67624193,-31965.015326997913,869.58330588905,-390.66612198956585
Saturday January 11 2025 13:53:09,-55306129371.4394,143802234615.92148,-221057634.44747046,-31962.878187656923,863.9092924788253,-390.6564055335075
Saturday January 11 2025 14:07:08,-55336315294.00471,143803048198.51932,-221426579.27447963,-31961.02517230887,858.9925229182523,-390.64797236219175
Saturday January 11 2025 14:22:07,-55363115971.39987,143803766688.68024,-221754159.48631412,-31959.37935966143,854.6278031819684,-390.6404755877477
Saturday January 11 2025 14:38:27,-55391853013.71926,143804533065.06198,-222105419.32049337,-31957.61400251925,849.9484104537535,-390.63242739505137
Saturday January 11 2025 14:59:01,-55423170334.14738,143805363510.7653,-222488232.37312093,-31955.689388891933,844.8496604030792,-390.6236450488605
Saturday January 11 2025 15:21:35,-55462609620.79194,143806402290.52515,-222970346.3350633,-31953.264530813252,838.4297686984977,-390.61256797589436
Saturday January 11 2025 15:48:05,-55505851540.89241,143807532211.17792,-223498970.80441263,-31950.604456494486,831.3924117569948,-390.600401010515
Saturday January 11 2025 16:21:27,-55556662522.89136,143808847863.23965,-224120160.8500055,-31947.476868898506,823.1252731717816,-390.5860751205462
Saturday January 11 2025 16:53:07,-55620629631.016205,143810485656.72177,-224902245.28302565,-31943.536568969397,812.7207115349773,-390.56799506039755
Saturday January 11 2025 17:23:20,-55681308315.24469,143812020187.17282,-225644179.9778424,-31939.79583804285,802.8542498756807,-390.55079826438106
Saturday January 11 2025 17:55:45,-55739221880.65892,143813467476.3742,-226352355.38500533,-31936.222854577867,793.4403263249766,-390.5343431980895
Saturday January 11 2025 18:24:54,-55801315844.37394,143815000453.4368,-227111704.1645129,-31932.38901491328,783.3500463346616,-390.5166548864085
Saturday January 11 2025 18:48:26,-55857159842.46859,143816362532.13773,-227794670.42721412,-31928.938461840546,774.278190209171,-390.5007068032287
Saturday January 11 2025 19:10:25,-55902262970.680145,143817451158.5493,-228346310.48759794,-31926.14978008529,766.9531256534891,-390.4877983791467
Saturday January 11 2025 19:31:24,-55944362898.055855,143818458047.33554,-228861246.50553268,-31923.545334320286,760.1173639453062,-390.47572710096574
Saturday January 11 2025 19:53:54,-55984546469.655235,143819410771.91388,-229352767.37355462,-31921.05813651736,753.5941672553299,-390.4641851641284
Saturday January 11 2025 20:15:14,-56027628784.049706,143820423185.1774,-229879771.73337397,-31918.390103929534,746.6019290765595,-390.4517887853941
Saturday January 11 2025 20:37:43,-56068500724.50587,143821375010.62726,-230379762.94791448,-31915.857604521945,739.969892592002,-390.4400075350302
Saturday January 11 2025 20:59:02,-56111531983.7492,143822368026.55466,-230906195.92853913,-31913.189887425604,732.989011803811,-390.4275819065638
Saturday January 11 2025 21:17:58,-56152355487.419304,143823301471.4164,-231405645.00301108,-31910.657691805958,726.3677461946039,-390.415772973375
Saturday January 11 2025 21:35:38,-56188600047.00286,143824123180.78748,-231849094.2200919,-31908.40841891263,720.4903380562188,-390.40527160623213
Saturday January 11 2025 21:54:54,-56222431971.89133,143824884221.05133,-232263042.4919236,-31906.307937006484,715.0051695450758,-390.3954548637266
