Date-time,px (m),py (m),pz (m),vx (m/s),vy (m/s),vz (m/s)
Wednesday January 01 2025 05:45:20,156831206550.1728,742630826852.8187,-6606614110.705221,4318.445084018547,2274.461621053837,484.3336643927463
Wednesday January 01 2025 05:46:03,156831392556.90308,742630925455.2472,-6606593229.601265,4320.138331192461,2304.8687257112533,485.43406233241035
Wednesday January 01 2025 05:46:46,156831578884.05472,742631025501.55,-6606572273.130971,4321.780159871193,2335.3190412152658,486.53525716571056
Wednesday January 01 2025 05:47:29,156831765404.54977,742631126928.6667,-6606551255.237323,4323.369304831105,2365.792057064931,487.6365048892352
Wednesday January 01 2025 05:48:13,156831952017.68063,742631229684.7306,-6606530186.988731,4324.904859815004,2396.271594205318,488.73721992744095
Wednesday January 01 2025 05:48:56,156832138882.83234,742631333861.0669,-6606509050.089811,4326.388060048534,2426.783955677697,489.8383508888763
Wednesday January 01 2025 05:49:39,156832325789.09543,742631439343.1882,-6606487868.110303,4327.817175267755,2457.2949774457143,490.9386638712685
Wednesday January 01 2025 05:50:22,156832512374.4982,742631545924.0704,-6606466681.96971,4329.18962892382,2487.7458807869766,492.03604166665605
Wednesday January 01 2025 05:51:05,156832699278.21243,742631653968.9889,-6606445418.897976,4330.510190162455,2518.2412711711836,493.13425478366594
Wednesday January 01 2025 05:51:48,156832885832.0019,742631763091.5795,-6606424154.731131,4331.774215061311,2548.6724106839933,494.2293882307248
Wednesday January 01 2025 05:52:31,156833072938.94583,742631873822.4952,-6606402786.267093,4332.98779554878,2579.186890948402,495.3267528777463
Wednesday January 01 2025 05:53:15,156833260078.8828,742631985860.3157,-6606381372.5162325,4334.147361938254,2609.7001391291537,496.42330437245784
Wednesday January 01 2025 05:53:58,156833447379.3443,742632099283.823,-6606359898.618517,4335.253676733552,2640.233229517466,497.5197995143829
Wednesday January 01 2025 05:54:41,156833634605.94156,742632213952.4663,-6606338391.213231,4336.305371659334,2670.748238202909,498.6148764760041
Wednesday January 01 2025 05:55:24,156833821781.48447,742632329879.4764,-6606316847.5163355,4337.302680258146,2701.249177754793,499.7086806128488
Wednesday January 01 2025 05:56:07,156834009159.46948,742632447224.0328,-6606295238.091728,4338.246936243155,2731.7776380286614,500.80270302076445
Wednesday January 01 2025 05:56:51,156834196544.40665,742632565866.5485,-6606273585.203572,4339.13710987249,2762.302048017302,501.89581155939544
Wednesday January 01 2025 05:57:34,156834383801.64178,742632685721.2468,-6606251904.241616,4339.972657305217,2792.8007653933514,502.98723244142064
Wednesday January 01 2025 05:58:17,156834571442.435,742632807118.8049,-6606230135.709883,4340.755790127685,2823.357337160473,504.07995436330145
Wednesday January 01 2025 05:59:00,156834758851.54233,742632929663.6046,-6606208350.716314,4341.483913376623,2853.871854613265,505.1704040390968
Wednesday January 01 2025 05:59:43,156834946793.01282,742633053859.2872,-6606186460.123189,4342.159901517437,2884.4689999656603,506.2630356100218
Wednesday January 01 2025 06:00:27,156835134274.47034,742633179051.7927,-6606164579.273602,4342.780187366884,2914.9874972541015,507.35208981505485
Wednesday January 01 2025 06:01:10,156835321696.66,742633305504.3496,-6606142661.358132,4343.346352118879,2945.4928816773995,508.43990883293543
Wednesday January 01 2025 06:01:53,156835509629.42108,742633433607.2157,-6606120639.3550005,4343.859950663968,2976.0781758681846,509.52980739882497
Wednesday January 01 2025 06:02:36,156835697621.44333,742633563059.8572,-6606098565.720923,4344.319529381377,3006.6702032550415,510.61917468422195
Wednesday January 01 2025 06:03:19,156835885139.16016,742633693491.7352,-6606076503.026959,4344.723986532235,3037.1824314824107,511.7049321392654
Wednesday January 01 2025 06:04:03,156836072705.99985,742633825263.7614,-6606054389.611791,4345.074655374674,3067.7003246781383,512.7901238046
Wednesday January 01 2025 06:04:46,156836260217.8322,742633958304.0474,-6606032237.523707,4345.371362028487,3098.2072247546002,513.8741575832437
Wednesday January 01 2025 06:05:29,156836448143.5821,742634092950.4456,-6606009991.00231,4345.614709558288,3128.7797018212186,514.9597523048782
Wednesday January 01 2025 06:06:12,156836636079.64557,742634228919.6818,-6605987697.435974,4345.804005673991,3159.3523755041856,516.0445839376906
Wednesday January 01 2025 06:06:55,156836823977.99075,742634366178.2362,-6605965362.2945385,4345.939224613569,3189.917717868141,517.1283856611125
Wednesday January 01 2025 06:07:39,156837011539.34512,742634504505.13,-6605943021.050508,4346.020320795947,3220.4273342365304,518.2094438738225
Wednesday January 01 2025 06:08:22,156837198873.428,742634643976.9823,-6605920660.602562,4346.047590338649,3250.899359272185,519.2884046811894
Wednesday January 01 2025 06:09:05,156837386808.76923,742634785216.2714,-6605898181.674079,4346.020996036985,3281.468845196055,520.3700477943721
Wednesday January 01 2025 06:09:48,156837574933.6008,742634927923.6427,-6605875632.974837,4345.940256069799,3312.0690972515413,521.4520085061251
Wednesday January 01 2025 06:10:32,156837762780.9247,742635071745.7373,-6605853070.263726,4345.805607023756,3342.624439113089,522.5316115876354
Wednesday January 01 2025 06:11:15,156837950762.57596,742635216998.2428,-6605830443.877474,4345.616811132259,3373.2021451647456,523.6112348629049
Wednesday January 01 2025 06:11:58,156838138730.02084,742635363569.6111,-6605807771.395475,4345.373958900078,3403.7783403566536,524.690034553599
Wednesday January 01 2025 06:12:41,156838326424.96567,742635511257.3995,-6605785083.827298,4345.077498327747,3434.3112917076705,525.7665398841473
Wednesday January 01 2025 06:13:25,156838514459.56003,742635660546.0665,-6605762306.896017,4344.726421660458,3464.900865756382,526.8442713243364
Wednesday January 01 2025 06:14:08,156838702375.6046,742635811076.3182,-6605739495.758724,4344.321474566601,3495.4728105240247,527.9206113133811
Wednesday January 01 2025 06:14:51,156838890190.50912,742635962861.9583,-6605716648.1249275,4343.8626974064955,3526.0302411706566,528.9956706903083
Wednesday January 01 2025 06:15:34,156839077954.89886,742636115944.5419,-6605693757.630754,4343.350012505067,3556.581677678852,530.0697499189215
Wednesday January 01 2025 06:16:17,156839265454.72028,742636270148.5046,-6605670850.228882,4342.7841183307155,3587.09257050915,531.1416360533151
Wednesday January 01 2025 06:17:01,156839452822.9626,742636425581.359,-6605647909.559522,4342.164759950313,3617.5848370315957,532.2121012391124
Wednesday January 01 2025 06:17:44,156839640457.64026,742636582577.1677,-6605624886.567222,4341.490536565283,3648.1235384806464,533.2834283958949
Wednesday January 01 2025 06:18:27,156839827966.62378,742636740811.8483,-6605601829.037582,4340.762766973941,3678.645142571509,534.353387556647
Wednesday January 01 2025 06:19:10,156840015629.15457,742636900523.9205,-6605578702.3456335,4339.980323257924,3709.195389902079,535.4235816650862
Wednesday January 01 2025 06:19:53,156840203104.7265,742637061425.8701,-6605555548.188827,4339.144604985783,3739.719133952776,536.4920787231129
Wednesday January 01 2025 06:20:37,156840390446.3288,742637223562.4099,-6605532359.871807,4338.255477617629,3770.2252786596237,537.5591919746264
Wednesday January 01 2025 06:21:20,156840578031.98898,742637387264.6644,-6605509090.27563,4337.3110597217765,3800.7756721743913,538.6270837634402
